Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Date,HomeTeam_encoded,AwayTeam_encoded,Stage_encoded,Winner
1978,11-Mar-78,,Uganda , Morocco,3,0,Group stage,11/03/1978,38,26,1,1
1978,14-Mar-78,,Ghana , Tunisia,1,0,Semi-finals,14/03/1978,15,37,4,1
1978,14-Mar-78,,Uganda , Nigeria,2,1,Semi-finals,14/03/1978,38,29,4,1
1978,16-Mar-78,,Nigeria , Tunisia,1,11,Third place,16/03/1978,29,37,5,-1
1978,16-Mar-78,,Ghana , Uganda,2,0,Final,16/03/1978,15,38,0,1
1980,08-Mar-80,,Nigeria , Tanzania,3,1,Group stage,08/03/1980,29,35,1,1
1980,08-Mar-80,,Egypt , Ivory Coast,2,1,Group stage,08/03/1980,10,17,1,1
1980,12-Mar-80,,Egypt , Tanzania,2,1,Group stage,12/03/1980,10,35,1,1
1980,12-Mar-80,,Nigeria , Ivory Coast,0,0,Group stage,12/03/1980,29,17,1,0
1980,15-Mar-80,,Ivory Coast , Tanzania,1,1,Group stage,15/03/1980,18,35,1,0
1980,15-Mar-80,,Nigeria , Egypt,1,0,Group stage,15/03/1980,29,9,1,1
1980,09-Mar-80,,Ghana , Algeria,0,0,Group stage,09/03/1980,15,0,1,0
1980,09-Mar-80,,Morocco , Guinea,1,1,Group stage,09/03/1980,26,15,1,0
1980,13-Mar-80,,Algeria , Morocco,1,0,Group stage,13/03/1980,0,26,1,1
1980,13-Mar-80,,Ghana , Guinea,1,0,Group stage,13/03/1980,15,15,1,1
1980,16-Mar-80,,Algeria , Guinea,3,2,Group stage,16/03/1980,0,15,1,1
1980,16-Mar-80,,Morocco , Ghana,1,0,Group stage,16/03/1980,26,14,1,1
1980,19-Mar-80,,Nigeria , Morocco,1,0,Semi-finals,19/03/1980,29,26,4,1
1980,19-Mar-80,,Algeria , Egypt,2,2,Semi-finals,19/03/1980,0,9,4,0
1980,21-Mar-80,,Morocco , Egypt,2,0,Third place,21/03/1980,26,9,5,1
1980,22-Mar-80,,Nigeria , Algeria,3,0,Final,22/03/1980,29,0,0,1
1982,05-Mar-82,,Libya , Ghana,2,2,Group stage,05/03/1982,21,14,1,0
1982,05-Mar-82,,Cameroon , Tunisia,1,1,Group stage,05/03/1982,5,37,1,0
1982,09-Mar-82,,Cameroon , Ghana,0,0,Group stage,09/03/1982,5,14,1,0
1982,09-Mar-82,,Libya , Tunisia,2,0,Group stage,09/03/1982,21,37,1,1
1982,12-Mar-82,,Ghana , Tunisia,1,0,Group stage,12/03/1982,15,37,1,1
1982,12-Mar-82,,Libya , Cameroon,0,0,Group stage,12/03/1982,21,5,1,0
1982,07-Mar-82,,Nigeria , Ethiopia,3,0,Group stage,07/03/1982,29,11,1,1
1982,07-Mar-82,,Algeria , Zambia,1,0,Group stage,07/03/1982,0,41,1,1
1982,10-Mar-82,,Zambia , Ethiopia,1,0,Group stage,10/03/1982,41,11,1,1
1982,10-Mar-82,,Algeria , Nigeria,2,1,Group stage,10/03/1982,0,29,1,1
1982,13-Mar-82,,Algeria , Ethiopia,0,0,Group stage,13/03/1982,0,11,1,0
1982,13-Mar-82,,Zambia , Nigeria,3,0,Group stage,13/03/1982,41,29,1,1
1982,16-Mar-82,,Ghana , Algeria,3,2,Semi-finals,16/03/1982,15,0,4,1
1982,16-Mar-82,,Libya , Zambia,2,1,Semi-finals,16/03/1982,21,41,4,1
1982,18-Mar-82,,Zambia , Algeria,2,0,Third place,18/03/1982,41,0,5,1
1982,19-Mar-82,,Ghana , Libya,1,1,Final,19/03/1982,15,20,0,0
1984,04-Mar-84,,Ivory Coast , Togo,3,0,Group stage,04/03/1984,18,36,1,1
1984,04-Mar-84,,Egypt , Cameroon,1,0,Group stage,04/03/1984,10,5,1,1
1984,07-Mar-84,,Cameroon , Togo,4,1,Group stage,07/03/1984,5,36,1,1
1984,07-Mar-84,,Ivory Coast , Egypt,1,2,Group stage,07/03/1984,18,9,1,-1
1984,10-Mar-84,,Egypt , Togo,0,0,Group stage,10/03/1984,10,36,1,0
1984,10-Mar-84,,Ivory Coast , Cameroon,0,2,Group stage,10/03/1984,18,5,1,-1
1984,05-Mar-84,,Ghana , Nigeria,1,2,Group stage,05/03/1984,15,29,1,-1
1984,05-Mar-84,,Algeria , Malawi,3,0,Group stage,05/03/1984,0,22,1,1
1984,08-Mar-84,,Malawi , Nigeria,2,2,Group stage,08/03/1984,23,29,1,0
1984,08-Mar-84,,Algeria , Ghana,2,0,Group stage,08/03/1984,0,14,1,1
1984,11-Mar-84,,Algeria , Nigeria,0,0,Group stage,11/03/1984,0,29,1,0
1984,11-Mar-84,,Ghana , Malawi,1,0,Group stage,11/03/1984,15,22,1,1
1984,14-Mar-84,,Egypt , Nigeria,2,2,Semi-finals,14/03/1984,10,29,4,0
1984,14-Mar-84,,Algeria , Cameroon,0,0,Semi-finals,14/03/1984,0,5,4,0
1984,17-Mar-84,,Algeria , Egypt,3,1,Third place,17/03/1984,0,9,5,1
1984,18-Mar-84,,Cameroon , Nigeria,3,1,Final,18/03/1984,5,29,0,1
1986,07-Mar-86,,Senegal , Egypt,1,0,Group stage,07/03/1986,31,9,1,1
1986,07-Mar-86,,Ivory Coast , Mozambique,3,0,Group stage,07/03/1986,18,27,1,1
1986,10-Mar-86,,Senegal , Mozambique,2,0,Group stage,10/03/1986,31,27,1,1
1986,10-Mar-86,,Egypt , Ivory Coast,2,0,Group stage,10/03/1986,10,17,1,1
1986,13-Mar-86,,Ivory Coast , Senegal,1,0,Group stage,13/03/1986,18,31,1,1
1986,13-Mar-86,,Egypt , Mozambique,2,0,Group stage,13/03/1986,10,27,1,1
1986,08-Mar-86,,Algeria , Morocco,0,0,Group stage,08/03/1986,0,26,1,0
1986,08-Mar-86,,Cameroon , Zambia,3,2,Group stage,08/03/1986,5,41,1,1
1986,11-Mar-86,,Algeria , Zambia,0,0,Group stage,11/03/1986,0,41,1,0
1986,11-Mar-86,,Cameroon , Morocco,1,1,Group stage,11/03/1986,5,26,1,0
1986,14-Mar-86,,Morocco , Zambia,1,0,Group stage,14/03/1986,26,41,1,1
1986,14-Mar-86,,Cameroon , Algeria,3,2,Group stage,14/03/1986,5,0,1,1
1986,17-Mar-86,,Cameroon , Ivory Coast,1,0,Semi-finals,17/03/1986,5,17,4,1
1986,17-Mar-86,,Egypt , Morocco,1,0,Semi-finals,17/03/1986,10,26,4,1
1986,20-Mar-86,,Ivory Coast , Morocco,3,2,Third place,20/03/1986,18,26,5,1
1986,21-Mar-86,,Egypt , Cameroon,0,0,Final,21/03/1986,10,5,0,0
1988,13-Mar-88,,Morocco , Zaire,1,1,Group stage,13/03/1988,26,40,1,0
1988,13-Mar-88,,Ivory Coast , Algeria,1,1,Group stage,13/03/1988,18,0,1,0
1988,16-Mar-88,,Ivory Coast , Zaire,1,1,Group stage,16/03/1988,18,40,1,0
1988,16-Mar-88,,Morocco , Algeria,1,0,Group stage,16/03/1988,26,0,1,1
1988,19-Mar-88,,Algeria , Zaire,1,0,Group stage,19/03/1988,0,40,1,1
1988,19-Mar-88,,Morocco , Ivory Coast,0,0,Group stage,19/03/1988,26,17,1,0
1988,14-Mar-88,,Cameroon , Egypt,1,0,Group stage,14/03/1988,5,9,1,1
1988,14-Mar-88,,Nigeria , Kenya,3,0,Group stage,14/03/1988,29,18,1,1
1988,17-Mar-88,,Cameroon , Nigeria,1,1,Group stage,17/03/1988,5,29,1,0
1988,17-Mar-88,,Egypt , Kenya,3,0,Group stage,17/03/1988,10,18,1,1
1988,20-Mar-88,,Cameroon , Kenya,0,0,Group stage,20/03/1988,5,18,1,0
1988,20-Mar-88,,Nigeria , Egypt,0,0,Group stage,20/03/1988,29,9,1,0
1988,23-Mar-88,,Nigeria , Algeria,1,1,Semi-finals,23/03/1988,29,0,4,0
1988,23-Mar-88,,Morocco , Cameroon,0,1,Semi-finals,23/03/1988,26,5,4,-1
1988,26-Mar-88,,Morocco , Algeria,1,1,Third place,26/03/1988,26,0,5,0
1988,27-Mar-88,,Cameroon , Nigeria,1,0,Final,27/03/1988,5,29,0,1
1990,02-Mar-90,,Algeria , Nigeria,5,1,Group stage,02/03/1990,0,29,1,1
1990,02-Mar-90,,Ivory Coast , Egypt,3,1,Group stage,02/03/1990,18,9,1,1
1990,05-Mar-90,,Nigeria , Egypt,1,0,Group stage,05/03/1990,29,9,1,1
1990,05-Mar-90,,Algeria , Ivory Coast,3,0,Group stage,05/03/1990,0,17,1,1
1990,08-Mar-90,,Nigeria , Ivory Coast,1,0,Group stage,08/03/1990,29,17,1,1
1990,08-Mar-90,,Algeria , Egypt,2,0,Group stage,08/03/1990,0,9,1,1
1990,03-Mar-90,,Zambia , Cameroon,1,0,Group stage,03/03/1990,41,5,1,1
1990,03-Mar-90,,Senegal , Kenya,0,0,Group stage,03/03/1990,31,18,1,0
1990,06-Mar-90,,Zambia , Kenya,1,0,Group stage,06/03/1990,41,18,1,1
1990,06-Mar-90,,Senegal , Cameroon,2,0,Group stage,06/03/1990,31,5,1,1
1990,09-Mar-90,,Zambia , Senegal,0,0,Group stage,09/03/1990,41,31,1,0
1990,09-Mar-90,,Cameroon , Kenya,2,0,Group stage,09/03/1990,5,18,1,1
1990,12-Mar-90,,Zambia , Nigeria,0,2,Semi-finals,12/03/1990,41,29,4,-1
1990,12-Mar-90,,Algeria , Senegal,2,1,Semi-finals,12/03/1990,0,31,4,1
1990,15-Mar-90,,Zambia , Senegal,1,0,Third place,15/03/1990,41,31,5,1
1990,16-Mar-90,16:00,Algeria , Nigeria,1,0,Final,16/03/1990,0,29,0,1
1992,12-Jan-92,,Nigeria , Senegal,2,1,Group stage,12/01/1992,29,31,1,1
1992,14-Jan-92,,Nigeria , Kenya,2,1,Group stage,14/01/1992,29,18,1,1
1992,16-Jan-92,,Senegal , Kenya,3,0,Group stage,16/01/1992,31,18,1,1
1992,12-Jan-92,,Cameroon , Morocco,1,0,Group stage,12/01/1992,5,26,1,1
1992,14-Jan-92,,Morocco , Zaire,1,1,Group stage,14/01/1992,26,40,1,0
1992,16-Jan-92,,Cameroon , Zaire,1,1,Group stage,16/01/1992,5,40,1,0
1992,13-Jan-92,,Ivory Coast , Algeria,3,0,Group stage,13/01/1992,18,0,1,1
1992,15-Jan-92,,Ivory Coast , DR Congo,0,0,Group stage,15/01/1992,18,8,1,0
1992,17-Jan-92,,Algeria , DR Congo,1,1,Group stage,17/01/1992,0,8,1,0
1992,13-Jan-92,,Zambia , Egypt,1,0,Group stage,13/01/1992,41,9,1,1
1992,15-Jan-92,,Ghana , Zambia,1,0,Group stage,15/01/1992,15,41,1,1
1992,17-Jan-92,,Ghana , Egypt,1,0,Group stage,17/01/1992,15,9,1,1
1992,19-Jan-92,,Nigeria , Zaire,1,0,Quarter-finals,19/01/1992,29,40,2,1
1992,19-Jan-92,,Cameroon , Senegal,1,0,Quarter-finals,19/01/1992,5,31,2,1
1992,20-Jan-92,,Ivory Coast , Zambia,1,0,Quarter-finals,20/01/1992,18,41,2,1
1992,20-Jan-92,,Ghana , DR Congo,2,1,Quarter-finals,20/01/1992,15,8,2,1
1992,23-Jan-92,,Ghana , Nigeria,2,1,Semi-finals,23/01/1992,15,29,4,1
1992,23-Jan-92,,Cameroon , Ivory Coast,0,0,Semi-finals,23/01/1992,5,17,4,0
1992,25-Jan-92,,Nigeria , Cameroon,2,1,Third place,25/01/1992,29,5,5,1
1992,26-Jan-92,,Ivory Coast , Ghana,0,0,Final,26/01/1992,18,14,0,0
