Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Date,HomeTeam_encoded,AwayTeam_encoded,Stage_encoded,MatchOutcome
1988,16-Mar-88,,Morocco , Algeria,1.0,0.0,Group stage,1988-03-16,26,0,1,1
1988,19-Mar-88,,Algeria , Zaire,1.0,0.0,Group stage,1988-03-19,0,40,1,1
1988,19-Mar-88,,Morocco , Ivory Coast,0.0,0.0,Group stage,1988-03-19,26,17,1,0
1988,14-Mar-88,,Cameroon , Egypt,1.0,0.0,Group stage,1988-03-14,5,9,1,1
1988,14-Mar-88,,Nigeria , Kenya,3.0,0.0,Group stage,1988-03-14,29,18,1,1
1988,17-Mar-88,,Cameroon , Nigeria,1.0,1.0,Group stage,1988-03-17,5,29,1,0
1988,17-Mar-88,,Egypt , Kenya,3.0,0.0,Group stage,1988-03-17,10,18,1,1
1988,20-Mar-88,,Cameroon , Kenya,0.0,0.0,Group stage,1988-03-20,5,18,1,0
1988,20-Mar-88,,Nigeria , Egypt,0.0,0.0,Group stage,1988-03-20,29,9,1,0
1988,23-Mar-88,,Nigeria , Algeria,1.0,1.0,Semi-finals,1988-03-23,29,0,4,0
1988,23-Mar-88,,Morocco , Cameroon,0.0,1.0,Semi-finals,1988-03-23,26,5,4,-1
1988,26-Mar-88,,Morocco , Algeria,1.0,1.0,Third place,1988-03-26,26,0,5,0
1988,27-Mar-88,,Cameroon , Nigeria,1.0,0.0,Final,1988-03-27,5,29,0,1
1990,02-Mar-90,,Algeria , Nigeria,5.0,1.0,Group stage,1990-03-02,0,29,1,1
1990,02-Mar-90,,Ivory Coast , Egypt,3.0,1.0,Group stage,1990-03-02,18,9,1,1
1990,05-Mar-90,,Nigeria , Egypt,1.0,0.0,Group stage,1990-03-05,29,9,1,1
1990,05-Mar-90,,Algeria , Ivory Coast,3.0,0.0,Group stage,1990-03-05,0,17,1,1
1990,08-Mar-90,,Nigeria , Ivory Coast,1.0,0.0,Group stage,1990-03-08,29,17,1,1
1990,08-Mar-90,,Algeria , Egypt,2.0,0.0,Group stage,1990-03-08,0,9,1,1
1990,03-Mar-90,,Zambia , Cameroon,1.0,0.0,Group stage,1990-03-03,41,5,1,1
1990,03-Mar-90,,Senegal , Kenya,0.0,0.0,Group stage,1990-03-03,31,18,1,0
1990,06-Mar-90,,Zambia , Kenya,1.0,0.0,Group stage,1990-03-06,41,18,1,1
1990,06-Mar-90,,Senegal , Cameroon,2.0,0.0,Group stage,1990-03-06,31,5,1,1
1990,09-Mar-90,,Zambia , Senegal,0.0,0.0,Group stage,1990-03-09,41,31,1,0
1990,09-Mar-90,,Cameroon , Kenya,2.0,0.0,Group stage,1990-03-09,5,18,1,1
1990,12-Mar-90,,Zambia , Nigeria,0.0,2.0,Semi-finals,1990-03-12,41,29,4,-1
1990,12-Mar-90,,Algeria , Senegal,2.0,1.0,Semi-finals,1990-03-12,0,31,4,1
1990,15-Mar-90,,Zambia , Senegal,1.0,0.0,Third place,1990-03-15,41,31,5,1
1990,16-Mar-90,16:00,Algeria , Nigeria,1.0,0.0,Final,1990-03-16,0,29,0,1
1992,12-Jan-92,,Nigeria , Senegal,2.0,1.0,Group stage,1992-01-12,29,31,1,1
1992,14-Jan-92,,Nigeria , Kenya,2.0,1.0,Group stage,1992-01-14,29,18,1,1
1992,16-Jan-92,,Senegal , Kenya,3.0,0.0,Group stage,1992-01-16,31,18,1,1
1992,12-Jan-92,,Cameroon , Morocco,1.0,0.0,Group stage,1992-01-12,5,26,1,1
1992,14-Jan-92,,Morocco , Zaire,1.0,1.0,Group stage,1992-01-14,26,40,1,0
1992,16-Jan-92,,Cameroon , Zaire,1.0,1.0,Group stage,1992-01-16,5,40,1,0
1992,13-Jan-92,,Ivory Coast , Algeria,3.0,0.0,Group stage,1992-01-13,18,0,1,1
1992,15-Jan-92,,Ivory Coast , DR Congo,0.0,0.0,Group stage,1992-01-15,18,8,1,0
1992,17-Jan-92,,Algeria , DR Congo,1.0,1.0,Group stage,1992-01-17,0,8,1,0
1992,13-Jan-92,,Zambia , Egypt,1.0,0.0,Group stage,1992-01-13,41,9,1,1
1992,15-Jan-92,,Ghana , Zambia,1.0,0.0,Group stage,1992-01-15,15,41,1,1
1992,17-Jan-92,,Ghana , Egypt,1.0,0.0,Group stage,1992-01-17,15,9,1,1
1992,19-Jan-92,,Nigeria , Zaire,1.0,0.0,Quarter-finals,1992-01-19,29,40,2,1
1992,19-Jan-92,,Cameroon , Senegal,1.0,0.0,Quarter-finals,1992-01-19,5,31,2,1
1992,20-Jan-92,,Ivory Coast , Zambia,1.0,0.0,Quarter-finals,1992-01-20,18,41,2,1
1992,20-Jan-92,,Ghana , DR Congo,2.0,1.0,Quarter-finals,1992-01-20,15,8,2,1
1992,23-Jan-92,,Ghana , Nigeria,2.0,1.0,Semi-finals,1992-01-23,15,29,4,1
1992,23-Jan-92,,Cameroon , Ivory Coast,0.0,0.0,Semi-finals,1992-01-23,5,17,4,0
1992,25-Jan-92,,Nigeria , Cameroon,2.0,1.0,Third place,1992-01-25,29,5,5,1
1992,26-Jan-92,,Ivory Coast , Ghana,0.0,0.0,Final,1992-01-26,18,14,0,0
1994,26-Mar-94,,Tunisia , Mali,0.0,2.0,Group stage,1994-03-26,37,23,1,-1
1994,28-Mar-94,,Mali , Zaire,0.0,1.0,Group stage,1994-03-28,24,40,1,-1
1994,30-Mar-94,,Tunisia , Zaire,1.0,1.0,Group stage,1994-03-30,37,40,1,0
1994,26-Mar-94,,Nigeria , Gabon,3.0,0.0,Group stage,1994-03-26,29,12,1,1
1994,28-Mar-94,,Egypt , Gabon,4.0,0.0,Group stage,1994-03-28,10,12,1,1
1994,30-Mar-94,,Nigeria , Egypt,0.0,0.0,Group stage,1994-03-30,29,9,1,0
1994,27-Mar-94,,Ivory Coast , Sierra Leone,4.0,0.0,Group stage,1994-03-27,18,32,1,1
1994,29-Mar-94,,Zambia , Sierra Leone,0.0,0.0,Group stage,1994-03-29,41,32,1,0
1994,31-Mar-94,,Zambia , Ivory Coast,1.0,0.0,Group stage,1994-03-31,41,17,1,1
1994,27-Mar-94,,Ghana , Guinea,1.0,0.0,Group stage,1994-03-27,15,15,1,1
1994,29-Mar-94,,Senegal , Guinea,2.0,1.0,Group stage,1994-03-29,31,15,1,1
1994,31-Mar-94,,Ghana , Senegal,1.0,0.0,Group stage,1994-03-31,15,31,1,1
1994,02-Apr-94,,Zaire , Nigeria,0.0,2.0,Quarter-finals,1994-04-02,40,29,2,-1
1994,02-Apr-94,,Egypt , Mali,0.0,1.0,Quarter-finals,1994-04-02,10,23,2,-1
1994,03-Apr-94,,Zambia , Senegal,1.0,0.0,Quarter-finals,1994-04-03,41,31,2,1
1994,03-Apr-94,,Ghana , Ivory Coast,1.0,2.0,Quarter-finals,1994-04-03,15,17,2,-1
1994,06-Apr-94,,Nigeria , Ivory Coast,2.0,2.0,Semi-finals,1994-04-06,29,17,4,0
1994,06-Apr-94,,Zambia , Mali,4.0,0.0,Semi-finals,1994-04-06,41,23,4,1
1994,10-Apr-94,,Ivory Coast , Mali,3.0,1.0,Third place,1994-04-10,18,23,5,1
1994,10-Apr-94,,Nigeria , Zambia,2.0,1.0,Final,1994-04-10,29,41,0,1
1996,13-Jan-96,,South Africa , Cameroon,3.0,0.0,Group stage,1996-01-13,33,5,1,1
1996,15-Jan-96,,Egypt , Angola,2.0,1.0,Group stage,1996-01-15,10,1,1,1
1996,18-Jan-96,,Cameroon , Egypt,2.0,1.0,Group stage,1996-01-18,5,9,1,1
1996,20-Jan-96,,South Africa , Angola,1.0,0.0,Group stage,1996-01-20,33,1,1,1
1996,24-Jan-96,,South Africa , Egypt,0.0,1.0,Group stage,1996-01-24,33,9,1,-1
1996,24-Jan-96,,Angola , Cameroon,3.0,3.0,Group stage,1996-01-24,1,5,1,0
1996,14-Jan-96,,Zambia , Algeria,0.0,0.0,Group stage,1996-01-14,41,0,1,0
