HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Tunisia , South Africa,3.0,1.0,Group D,Home
Senegal , South Africa,1.0,1.0,Group D,Draw
Tunisia , Angola,0.0,0.0,Group D,Draw
Ghana , Nigeria,2.0,1.0,Quarter-finals,Home
Ivory Coast , Guinea,5.0,0.0,Quarter-finals,Home
Egypt , Angola,2.0,1.0,Quarter-finals,Home
Tunisia , Cameroon,2.0,3.0,Quarter-finals,Away
Ghana , Cameroon,0.0,1.0,Semi-finals,Away
Ivory Coast , Egypt,1.0,4.0,Semi-finals,Away
Ghana , Ivory Coast,4.0,2.0,Third place match,Home
Cameroon , Egypt,0.0,1.0,Final,Away
Angola , Mali,4.0,4.0,Group A,Draw
Malawi , Algeria,3.0,0.0,Group A,Home
Mali , Algeria,0.0,1.0,Group A,Away
Angola , Malawi,2.0,0.0,Group A,Home
Angola , Algeria,0.0,0.0,Group A,Draw
Mali , Malawi,3.0,1.0,Group A,Home
Ivory Coast , Burkina Faso,0.0,0.0,Group B,Draw
Ghana , Togo,,,Group B,Draw
Burkina Faso , Togo,,,Group B,Draw
Ivory Coast , Ghana,3.0,1.0,Group B,Home
Burkina Faso , Ghana,0.0,1.0,Group B,Away
Ivory Coast , Togo,,,Group B,Draw
Egypt , Nigeria,3.0,1.0,Group C,Home
Mozambique , Benin,2.0,2.0,Group C,Draw
Nigeria , Benin,1.0,0.0,Group C,Home
Egypt , Mozambique,2.0,0.0,Group C,Home
Egypt , Benin,2.0,0.0,Group C,Home
Nigeria , Mozambique,3.0,0.0,Group C,Home
Cameroon , Gabon,0.0,1.0,Group D,Away
Zambia , Tunisia,1.0,1.0,Group D,Draw
Gabon , Tunisia,0.0,0.0,Group D,Draw
Cameroon , Zambia,3.0,2.0,Group D,Home
Gabon , Zambia,1.0,2.0,Group D,Away
Cameroon , Tunisia,2.0,2.0,Group D,Draw
Angola , Ghana,0.0,1.0,Quarter-finals,Away
Ivory Coast , Algeria,2.0,3.0,Quarter-finals,Away
Egypt , Cameroon,3.0,1.0,Quarter-finals,Home
Zambia , Nigeria,0.0,0.0,Quarter-finals,Draw
Ghana , Nigeria,1.0,0.0,Semi-finals,Home
Algeria , Egypt,0.0,4.0,Semi-finals,Away
Nigeria , Algeria,1.0,0.0,Third place play-off,Home
Ghana , Egypt,0.0,1.0,Final,Away
