HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Tunisia , Togo,3,1,Group stage,Tunisia 
South Africa , Angola,0,0,Group stage,Draw
Ivory Coast , Namibia,4,3,Group stage,Ivory Coast 
Ivory Coast , South Africa,1,1,Group stage,Draw
Angola , Namibia,3,3,Group stage,Draw
Ivory Coast , Angola,5,2,Group stage,Ivory Coast 
South Africa , Namibia,4,1,Group stage,South Africa 
Morocco , Zambia,1,1,Group stage,Draw
Egypt , Mozambique,2,0,Group stage,Egypt 
Egypt , Zambia,4,0,Group stage,Egypt 
Morocco , Mozambique,3,0,Group stage,Morocco 
Zambia , Mozambique,3,1,Group stage,Zambia 
Morocco , Egypt,1,0,Group stage,Morocco 
Cameroon , DR Congo,0,1,Quarter-finals, DR Congo
Tunisia , Burkina Faso,1,1,Quarter-finals,Draw
Ivory Coast , Egypt,0,0,Quarter-finals,Draw
Morocco , South Africa,1,2,Quarter-finals, South Africa
DR Congo , South Africa,1,2,Semi-finals, South Africa
Burkina Faso , Egypt,0,2,Semi-finals, Egypt
DR Congo , Burkina Faso,4,4,Third place,Draw
South Africa , Egypt,0,2,Final, Egypt
Ghana , Cameroon,1,1,Group stage,Draw
Ivory Coast , Togo,1,1,Group stage,Draw
Ghana , Togo,2,0,Group stage,Ghana 
Cameroon , Ivory Coast,3,0,Group stage,Cameroon 
Ghana , Ivory Coast,0,2,Group stage, Ivory Coast
Cameroon , Togo,0,1,Group stage, Togo
South Africa , Gabon,3,1,Group stage,South Africa 
DR Congo , Algeria,0,0,Group stage,Draw
South Africa , DR Congo,1,0,Group stage,South Africa 
Algeria , Gabon,3,1,Group stage,Algeria 
South Africa , Algeria,1,1,Group stage,Draw
DR Congo , Gabon,0,0,Group stage,Draw
Egypt , Zambia,2,0,Group stage,Egypt 
Burkina Faso , Senegal,1,3,Group stage, Senegal
Egypt , Senegal,1,0,Group stage,Egypt 
Zambia , Burkina Faso,1,1,Group stage,Draw
Egypt , Burkina Faso,4,2,Group stage,Egypt 
Zambia , Senegal,2,2,Group stage,Draw
Nigeria , Tunisia,4,2,Group stage,Nigeria 
Morocco , Congo,1,0,Group stage,Morocco 
Nigeria , Congo,0,0,Group stage,Draw
Tunisia , Morocco,0,0,Group stage,Draw
Nigeria , Morocco,2,0,Group stage,Nigeria 
Tunisia , Congo,1,0,Group stage,Tunisia 
Cameroon , Algeria,2,1,Quarter-finals,Cameroon 
South Africa , Ghana,1,0,Quarter-finals,South Africa 
Egypt , Tunisia,0,1,Quarter-finals, Tunisia
Nigeria , Senegal,2,1,Quarter-finals,Nigeria 
Nigeria , South Africa,2,0,Semi-finals,Nigeria 
Cameroon , Tunisia,3,0,Semi-finals,Cameroon 
South Africa , Tunisia,2,2,Third place,Draw
Nigeria , Cameroon,2,2,Final,Draw
Mali , Liberia,1,1,Group stage,Draw
Algeria , Nigeria,0,1,Group stage, Nigeria
Mali , Nigeria,0,0,Group stage,Draw
Liberia , Algeria,2,2,Group stage,Draw
Mali , Algeria,2,0,Group stage,Mali 
Liberia , Nigeria,0,1,Group stage, Nigeria
South Africa , Burkina Faso,0,0,Group stage,Draw
Morocco , Ghana,0,0,Group stage,Draw
South Africa , Ghana,0,0,Group stage,Draw
Burkina Faso , Morocco,1,2,Group stage, Morocco
South Africa , Morocco,3,1,Group stage,South Africa 
Burkina Faso , Ghana,1,2,Group stage, Ghana
Cameroon , DR Congo,1,0,Group stage,Cameroon 
Togo , Ivory Coast,0,0,Group stage,Draw
Cameroon , Ivory Coast,1,0,Group stage,Cameroon 
DR Congo , Togo,0,0,Group stage,Draw
Cameroon , Togo,3,0,Group stage,Cameroon 
DR Congo , Ivory Coast,3,1,Group stage,DR Congo 
Egypt , Senegal,0,1,Group stage, Senegal
Zambia , Tunisia,0,0,Group stage,Draw
Egypt , Tunisia,1,0,Group stage,Egypt 
Senegal , Zambia,1,0,Group stage,Senegal 
Egypt , Zambia,2,1,Group stage,Egypt 
Senegal , Tunisia,0,0,Group stage,Draw
South Africa , Mali,0,2,Quarter-finals, Mali
Nigeria , Ghana,1,0,Quarter-finals,Nigeria 
Cameroon , Egypt,1,0,Quarter-finals,Cameroon 
Senegal , DR Congo,2,0,Quarter-finals,Senegal 
Nigeria , Senegal,1,2,Semi-finals, Senegal
Mali , Cameroon,0,3,Semi-finals, Cameroon
Nigeria , Mali,1,0,Third place,Nigeria 
Senegal , Cameroon,0,0,Final,Draw
Tunisia , Rwanda,2,1,Group stage,Tunisia 
DR Congo , Guinea,1,2,Group stage, Guinea
Rwanda , Guinea,1,1,Group stage,Draw
Tunisia , DR Congo,3,0,Group stage,Tunisia 
Tunisia , Guinea,1,1,Group stage,Draw
Rwanda , DR Congo,1,0,Group stage,Rwanda 
Kenya , Mali,1,3,Group stage, Mali
Senegal , Burkina Faso,0,0,Group stage,Draw
Senegal , Kenya,3,0,Group stage,Senegal 
Burkina Faso , Mali,1,3,Group stage, Mali
Senegal , Mali,1,1,Group stage,Draw
