HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Ghana , Cameroon,1,1,Group A,
Ivory Coast , Togo,1,1,Group A,
Ghana , Togo,2,0,Group A,
Cameroon , Ivory Coast,3,0,Group A,
Ghana , Ivory Coast,0,2,Group A,
Cameroon , Togo,0,1,Group A,
South Africa , Gabon,3,1,Group B,
DR Congo , Algeria,0,0,Group B,
South Africa , DR Congo,1,0,Group B,
Algeria , Gabon,3,1,Group B,
South Africa , Algeria,1,1,Group B,
DR Congo , Gabon,0,0,Group B,
Egypt , Zambia,2,0,Group C,
Burkina Faso , Senegal,1,3,Group C,
Egypt , Senegal,1,0,Group C,
Zambia , Burkina Faso,1,1,Group C,
Egypt , Burkina Faso,4,2,Group C,
Zambia , Senegal,2,2,Group C,
Nigeria , Tunisia,4,2,Group D,
Morocco , Congo,1,0,Group D,
Nigeria , Congo,0,0,Group D,
Tunisia , Morocco,0,0,Group D,
Nigeria , Morocco,2,0,Group D,
Tunisia , Congo,1,0,Group D,
Cameroon , Algeria,2,1,Quarterfinals,
South Africa , Ghana,1,0,Quarterfinals,
Egypt , Tunisia,0,1,Quarterfinals,
Nigeria , Senegal,2,1,Quarterfinals,
Nigeria , South Africa,2,0,Semifinals,
Cameroon , Tunisia,3,0,Semifinals,
South Africa , Tunisia,2,2,Third place match,
Nigeria , Cameroon,2,2,Final,
Mali , Liberia,1,1,Group A,
Algeria , Nigeria,0,1,Group A,
Mali , Nigeria,0,0,Group A,
Liberia , Algeria,2,2,Group A,
Mali , Algeria,2,0,Group A,
Liberia , Nigeria,0,1,Group A,
South Africa , Burkina Faso,0,0,Group B,
Morocco , Ghana,0,0,Group B,
South Africa , Ghana,0,0,Group B,
Burkina Faso , Morocco,1,2,Group B,
South Africa , Morocco,3,1,Group B,
Burkina Faso , Ghana,1,2,Group B,
Cameroon , DR Congo,1,0,Group C,
Togo , Ivory Coast,0,0,Group C,
Cameroon , Ivory Coast,1,0,Group C,
DR Congo , Togo,0,0,Group C,
Cameroon , Togo,3,0,Group C,
DR Congo , Ivory Coast,3,1,Group C,
Egypt , Senegal,0,1,Group D,
Zambia , Tunisia,0,0,Group D,
Egypt , Tunisia,1,0,Group D,
Senegal , Zambia,1,0,Group D,
Egypt , Zambia,2,1,Group D,
Senegal , Tunisia,0,0,Group D,
South Africa , Mali,0,2,Quarterfinals,
Nigeria , Ghana,1,0,Quarterfinals,
Cameroon , Egypt,1,0,Quarterfinals,
Senegal , DR Congo,2,0,Quarterfinals,
Nigeria , Senegal,1,2,Semifinals,
Mali , Cameroon,0,3,Semifinals,
Nigeria , Mali,1,0,Third place match,
Senegal , Cameroon,0,0,Final,
Tunisia , Rwanda,2,1,Group A,
DR Congo , Guinea,1,2,Group A,
Rwanda , Guinea,1,1,Group A,
Tunisia , DR Congo,3,0,Group A,
Tunisia , Guinea,1,1,Group A,
Rwanda , DR Congo,1,0,Group A,
Kenya , Mali,1,3,Group B,
Senegal , Burkina Faso,0,0,Group B,
Senegal , Kenya,3,0,Group B,
Burkina Faso , Mali,1,3,Group B,
Senegal , Mali,1,1,Group B,
Burkina Faso , Kenya,0,3,Group B,
Zimbabwe , Egypt,1,2,Group C,
Cameroon , Algeria,1,1,Group C,
Cameroon , Zimbabwe,5,3,Group C,
Algeria , Egypt,2,1,Group C,
Cameroon , Egypt,0,0,Group C,
Algeria , Zimbabwe,1,2,Group C,
Nigeria , Morocco,0,1,Group D,
South Africa , Benin,2,0,Group D,
Nigeria , South Africa,4,0,Group D,
Morocco , Benin,4,0,Group D,
Morocco , South Africa,1,1,Group D,
Nigeria , Benin,2,1,Group D,
Mali , Guinea,2,1,Quarter-finals,
Tunisia , Senegal,1,0,Quarter-finals,
Cameroon , Nigeria,1,2,Quarter-finals,
Morocco , Algeria,3,1,Quarter-finals,
Tunisia , Nigeria,1,1,Semi-finals,
Morocco , Mali,4,0,Semi-finals,
Nigeria , Mali,2,1,Third place match,
Tunisia , Morocco,2,1,Final,
Egypt , Libya,3,0,Group A,
Morocco , Ivory Coast,0,1,Group A,
Libya , Ivory Coast,1,2,Group A,
Egypt , Morocco,0,0,Group A,
Egypt , Ivory Coast,3,1,Group A,
Libya , Morocco,0,0,Group A,
Cameroon , Angola,3,1,Group B,
Togo , DR Congo,0,2,Group B,
Angola , DR Congo,0,0,Group B,
Cameroon , Togo,2,0,Group B,
Angola , Togo,3,2,Group B,
Cameroon , DR Congo,2,0,Group B,
Tunisia , Zambia,4,1,Group C,
South Africa , Guinea,0,2,Group C,
Zambia , Guinea,1,2,Group C,
Tunisia , South Africa,2,0,Group C,
Tunisia , Guinea,0,3,Group C,
Zambia , South Africa,1,0,Group C,
Nigeria , Ghana,1,0,Group D,
Zimbabwe , Senegal,0,2,Group D,
Ghana , Senegal,1,0,Group D,
Nigeria , Zimbabwe,2,0,Group D,
